test_id,adult_males,subadult_males,adult_females,juveniles,pups
0,5,4,7,7,20
1,5,4,26,15,11
2,5,4,31,11,30
3,5,4,1,1,4
4,5,4,5,5,5
5,5,4,15,3,29
6,5,4,1,15,2
7,5,4,3,1,11
8,5,4,10,2,13
9,5,4,114,80,217
10,5,4,10,4,15
11,5,4,26,15,2
12,5,4,2,1,3
13,5,4,1,15,11
14,5,4,83,58,189
15,5,4,52,6,65
16,5,4,17,4,27
17,5,4,58,7,71
18,5,4,2,15,11
19,5,4,12,1,18
20,5,4,11,15,32
21,5,4,3,1,11
22,5,4,25,4,30
23,5,4,36,2,17
24,5,4,86,41,209
25,5,4,1,15,1
26,5,4,26,1,3
27,5,4,13,2,34
28,5,4,4,1,4
29,5,4,1,15,2
30,5,4,2,15,11
31,5,4,6,15,5
32,5,4,1,15,1
33,5,4,26,15,11
34,5,4,1,15,5
35,5,4,1,15,11
36,5,4,9,4,9
37,5,4,26,15,11
38,5,4,2,15,2
39,5,4,6,15,2
40,5,4,10,3,18
41,5,4,10,15,1
42,5,4,1,15,11
43,5,4,3,15,2
44,5,4,1,15,3
45,5,4,54,11,41
46,5,4,1,15,1
47,5,4,26,15,2
48,5,4,10,2,30
49,5,4,41,2,86
50,5,4,47,8,77
51,5,4,6,2,7
52,5,4,12,2,12
53,5,4,24,4,64
54,5,4,50,17,85
55,5,4,18,3,24
56,5,4,22,9,28
57,5,4,26,15,11
58,5,4,103,43,149
59,5,4,5,15,5
60,5,4,15,4,18
61,5,4,7,2,13
62,5,4,27,7,63
63,5,4,92,18,118
64,5,4,29,5,77
65,5,4,1,15,11
66,5,4,11,1,6
67,5,4,6,4,13
68,5,4,26,15,11
69,5,4,54,18,116
70,5,4,12,3,8
71,5,4,26,15,11
72,5,4,8,4,7
73,5,4,26,15,11
74,5,4,26,15,11
75,5,4,8,1,12
76,5,4,26,4,26
77,5,4,26,15,11
78,5,4,26,15,11
79,5,4,26,15,2
80,5,4,11,3,27
81,5,4,5,15,4
82,1,4,127,81,188
83,5,4,26,15,11
84,5,4,22,15,14
85,5,4,26,15,11
86,5,4,42,5,44
87,5,4,31,10,45
88,5,4,4,1,5
89,5,4,16,5,40
90,5,4,3,1,9
91,5,4,1,15,11
92,5,4,4,1,8
93,5,4,152,54,104
94,5,4,83,11,152
95,5,4,17,1,23
96,5,4,28,4,43
97,5,4,26,15,11
98,5,4,18,8,16
99,5,4,26,15,1
100,5,4,1,15,11
101,5,4,3,1,3
102,5,4,1,15,1
103,5,4,3,15,7
104,5,4,11,4,36
105,5,4,5,4,14
106,5,4,61,18,124
107,5,4,42,9,73
108,5,4,26,11,39
109,5,4,2,15,7
110,5,4,26,15,11
111,0,0,0,0,0
112,5,4,22,1,53
113,5,4,25,9,38
114,5,4,26,15,11
115,5,4,17,5,8
116,5,4,63,10,130
117,1,4,323,320,839
118,5,4,21,3,30
119,5,4,10,2,12
120,5,4,3,15,4
121,5,4,159,78,222
122,5,4,9,15,12
123,5,4,9,19,38
124,5,4,26,15,11
125,5,4,19,9,21
126,5,4,2,15,4
127,5,4,19,5,13
128,5,4,103,15,114
129,5,4,5,3,12
130,5,4,37,1,35
131,5,4,3,1,11
132,5,4,13,15,27
133,5,4,20,6,30
134,5,4,107,16,57
135,5,4,1,15,11
136,5,4,8,1,19
137,5,4,13,1,7
138,5,4,20,21,63
139,5,4,34,8,60
140,5,4,2,15,6
141,5,4,5,1,14
142,5,4,26,15,2
143,5,4,26,15,11
144,5,4,27,22,57
145,5,4,6,1,10
146,5,4,8,2,8
147,5,4,5,6,26
148,5,4,6,15,9
149,1,4,44,3,67
150,5,4,43,3,91
151,5,4,4,15,11
152,5,4,30,7,37
153,5,4,26,15,1
154,5,4,18,2,15
155,5,4,26,15,11
156,5,4,16,3,11
157,5,4,26,5,49
158,5,4,26,15,11
159,5,4,26,15,11
160,5,4,13,2,18
161,5,4,50,9,59
162,5,4,94,39,167
163,5,4,166,52,404
164,5,4,3,2,6
165,5,4,3,15,4
166,5,4,128,43,214
167,5,4,10,1,5
168,5,4,1,15,11
169,5,4,62,22,77
170,5,4,3,15,11
171,5,4,7,2,12
172,5,4,28,9,79
173,5,4,5,2,11
174,5,4,2,15,11
175,1,4,53,17,98
176,5,4,49,9,95
177,5,4,4,15,5
178,5,4,133,26,211
179,5,4,84,31,201
180,5,4,18,1,12
181,5,4,3,15,6
182,5,4,12,2,9
183,5,4,16,4,24
184,5,4,21,9,13
185,5,4,1,15,3
186,5,4,131,35,187
187,5,4,1,15,1
188,5,4,42,41,81
189,5,4,4,2,5
190,5,4,2,15,4
191,5,4,2,15,5
192,5,4,4,1,10
193,5,4,2,1,1
194,5,4,2,1,4
195,5,4,15,8,21
196,5,4,26,15,11
197,5,4,2,1,4
198,5,4,2,1,2
199,5,4,13,2,17
200,5,4,8,3,11
201,5,4,28,8,46
202,5,4,4,1,6
203,5,4,26,15,11
204,1,4,44,6,110
205,5,4,26,15,11
206,5,4,2,15,1
207,5,4,12,3,13
208,5,4,26,15,11
209,5,4,25,11,17
210,5,4,26,15,1
211,5,4,24,3,32
212,5,4,8,15,25
213,5,4,4,15,1
214,5,4,11,6,34
215,5,4,32,12,16
216,5,4,74,7,90
217,5,4,1,15,3
218,5,4,26,15,2
219,5,4,16,7,9
220,5,4,10,1,17
221,5,4,2,15,6
222,5,4,15,6,26
223,5,4,15,3,10
224,5,4,5,1,7
225,5,4,26,15,11
226,5,4,9,2,6
227,5,4,26,15,3
228,5,4,2,15,1
229,5,4,2,15,2
230,5,4,5,15,5
231,5,4,40,13,32
232,5,4,26,15,11
233,5,4,16,1,9
234,5,4,14,4,14
235,5,4,59,10,69
236,5,4,2,15,3
237,5,4,26,15,11
238,5,4,7,4,26
239,5,4,22,3,21
240,5,4,16,15,33
241,5,4,4,15,1
242,5,4,16,1,24
243,5,4,1,15,1
244,5,4,26,15,11
245,5,4,26,15,2
246,5,4,26,15,5
247,5,4,55,12,80
248,5,4,32,12,64
249,5,4,72,9,59
250,5,4,38,2,17
251,5,4,47,16,60
252,5,4,20,3,23
253,5,4,163,43,89
254,5,4,9,5,20
255,5,4,20,4,30
256,5,4,35,8,42
257,5,4,1,15,2
258,5,4,4,15,7
259,5,4,31,18,56
260,5,4,27,1,7
261,5,4,1,15,11
262,5,4,26,1,11
263,5,4,2,15,8
264,5,4,3,15,5
265,5,4,28,10,37
266,5,4,13,15,33
267,5,4,3,15,7
268,5,4,38,9,64
269,5,4,13,1,25
270,5,4,26,15,11
271,5,4,27,4,66
272,5,4,6,15,1
273,5,4,60,13,127
274,5,4,2,2,4
275,5,4,55,15,81
276,5,4,3,3,6
277,5,4,21,8,25
278,5,4,11,3,8
279,5,4,49,13,92
280,5,4,34,23,102
281,5,4,4,15,11
282,5,4,5,1,4
283,5,4,2,15,11
284,5,4,26,8,69
285,5,4,16,6,41
286,5,4,16,2,31
287,5,4,26,15,1
288,5,4,2,15,11
289,5,4,37,9,78
290,5,4,26,15,11
291,5,4,2,1,1
292,5,4,23,6,60
293,5,4,46,8,43
294,5,4,26,15,1
295,5,4,34,14,66
296,5,4,5,15,12
297,5,4,8,1,22
298,5,4,28,12,41
299,5,4,6,15,1
300,5,4,33,15,87
301,5,4,4,2,3
302,1,4,55,21,136
303,5,4,5,15,8
304,5,4,10,15,27
305,5,4,75,62,97
306,1,4,119,38,326
307,5,4,7,15,5
308,5,4,3,15,1
309,5,4,2,15,2
310,5,4,47,61,175
311,5,4,32,7,24
